Age,Flight Distance,Inflight wifi service,Departure/Arrival time convenient,Ease of Online booking,Gate location,Food and drink,Online boarding,Gender_Female,Gender_Male,Customer Type_Loyal Customer,Customer Type_disloyal Customer
52,462,3,4,5,4,3,4,True,False,True,False
35,3490,1,1,1,1,3,4,True,False,True,False
24,590,1,1,1,2,1,1,False,True,False,True
13,2361,3,3,3,3,5,5,True,False,True,False
44,2243,1,1,4,1,5,4,False,True,True,False
27,533,4,3,4,3,4,4,True,False,True,False
39,2336,3,3,3,3,3,5,False,True,True,False
31,1126,3,4,3,3,4,3,False,True,True,False
59,1999,1,5,1,5,5,1,False,True,True,False
62,1931,4,5,4,3,5,5,True,False,True,False
37,359,4,2,4,4,2,4,True,False,False,True
40,3084,1,1,1,1,4,4,False,True,True,False
34,429,1,0,0,2,3,0,True,False,False,True
16,347,2,4,4,4,2,2,False,True,True,False
45,1444,2,2,2,2,2,5,False,True,True,False
29,1500,4,4,4,4,4,4,True,False,True,False
32,329,5,5,5,3,3,5,False,True,True,False
20,1020,3,3,3,4,1,3,True,False,False,True
30,526,1,1,1,1,4,4,False,True,True,False
52,1641,1,1,1,1,2,5,False,True,True,False
36,277,4,4,4,3,2,4,False,True,False,True
33,631,3,3,3,1,3,3,True,False,False,True
21,391,4,0,4,4,3,4,False,True,False,True
69,102,1,1,4,1,1,1,False,True,True,False
7,762,4,5,5,3,4,5,False,True,True,False
46,419,3,3,3,3,1,2,True,False,True,False
59,304,1,1,1,1,1,2,True,False,True,False
60,3207,3,3,3,3,2,5,True,False,True,False
61,373,1,5,5,5,4,4,True,False,True,False
22,2172,2,4,1,3,1,1,False,True,True,False
40,649,2,2,2,2,3,4,False,True,True,False
27,954,3,3,3,3,3,3,True,False,False,True
27,2078,1,1,1,1,4,4,True,False,True,False
54,1894,3,3,3,3,3,4,True,False,True,False
70,1085,2,4,2,3,3,5,True,False,True,False
59,3490,2,2,2,2,4,4,True,False,True,False
25,1009,2,1,2,2,1,2,False,True,True,False
60,1222,4,3,3,3,5,1,True,False,True,False
41,2419,5,5,5,5,4,4,False,True,True,False
29,507,2,3,3,3,2,2,False,True,True,False
29,895,5,5,4,2,4,4,True,False,True,False
24,140,3,5,3,3,2,3,True,False,True,False
51,326,3,1,1,1,5,3,True,False,True,False
42,447,2,1,1,1,4,4,True,False,True,False
53,1846,2,2,2,2,5,4,True,False,True,False
14,1670,1,5,1,3,2,1,False,True,True,False
38,187,3,3,3,3,5,3,True,False,False,True
24,1069,3,5,3,1,3,3,True,False,True,False
19,89,2,3,2,1,4,2,False,True,True,False
26,1034,4,4,4,2,3,4,False,True,False,True
37,204,5,5,5,5,1,5,True,False,False,True
42,1740,4,4,4,4,2,5,True,False,True,False
61,405,2,2,2,3,5,2,False,True,False,True
49,1310,4,3,3,3,3,4,False,True,False,True
52,1846,2,2,2,2,3,4,True,False,True,False
74,557,5,5,5,5,1,1,True,False,True,False
48,894,4,4,4,4,2,4,True,False,False,True
11,2300,4,5,3,3,3,3,False,True,True,False
53,3206,4,5,5,5,2,3,False,True,True,False
45,599,3,3,3,4,4,3,True,False,False,True
31,373,0,0,0,5,1,0,False,True,True,False
31,1571,2,2,2,2,5,5,True,False,True,False
72,2677,3,1,3,1,3,3,False,True,True,False
31,143,5,3,3,3,5,5,True,False,True,False
60,282,3,4,3,3,5,3,False,True,True,False
33,3417,3,3,3,3,5,5,False,True,True,False
35,3946,4,4,4,4,5,3,False,True,True,False
54,325,2,3,3,3,4,3,False,True,True,False
68,933,2,5,2,2,2,4,True,False,True,False
23,539,4,4,5,4,4,5,False,True,True,False
21,462,4,0,4,4,1,4,False,True,False,True
29,3612,5,5,5,5,4,4,True,False,True,False
20,240,1,5,1,1,1,3,True,False,False,True
45,89,1,0,0,2,2,0,True,False,False,True
53,1346,4,4,4,4,5,5,False,True,True,False
40,2790,2,5,2,2,5,4,False,True,True,False
33,140,0,0,0,1,4,3,False,True,True,False
65,258,1,2,1,4,4,1,True,False,False,True
24,552,4,5,4,4,2,4,False,True,True,False
61,748,2,5,5,5,2,2,False,True,True,False
18,1180,5,5,5,3,5,5,False,True,False,True
24,354,2,1,2,4,1,2,True,False,True,False
43,2863,4,4,2,4,4,5,False,True,True,False
72,1797,4,2,2,2,4,4,False,True,True,False
30,2338,1,1,1,1,4,4,True,False,True,False
58,944,1,1,1,1,4,4,False,True,True,False
46,612,3,4,3,1,3,1,True,False,True,False
29,669,3,2,2,4,5,2,False,True,False,True
22,247,3,1,3,4,1,3,True,False,False,True
57,1595,3,3,3,3,3,5,False,True,True,False
75,2802,1,2,5,2,1,3,True,False,True,False
59,342,3,3,3,3,3,4,False,True,True,False
48,1652,4,4,4,4,4,5,True,False,True,False
54,2740,3,3,3,3,3,1,False,True,True,False
39,1346,1,1,1,1,2,5,False,True,True,False
48,726,1,1,1,4,1,4,False,True,True,False
41,277,1,3,1,2,2,1,True,False,True,False
53,925,3,5,3,2,5,4,True,False,True,False
53,2527,3,3,3,3,3,4,False,True,True,False
57,529,3,4,3,3,5,4,True,False,True,False
34,316,4,4,4,2,1,4,True,False,True,False
34,1192,2,5,2,4,5,2,False,True,True,False
26,584,1,4,1,4,5,1,True,False,False,True
46,3073,2,2,1,2,4,5,False,True,True,False
22,2106,5,1,1,1,5,4,True,False,True,False
31,1021,2,2,3,4,3,3,False,True,True,False
39,2585,5,5,5,5,5,4,False,True,True,False
48,247,1,1,1,3,2,1,False,True,False,True
27,303,4,4,4,3,2,4,False,True,False,True
21,227,1,3,1,3,1,1,False,True,False,True
29,971,2,2,2,3,4,2,True,False,True,False
65,181,3,5,5,5,2,4,True,False,True,False
41,3381,3,3,3,3,5,4,False,True,True,False
42,1400,2,5,2,5,5,2,False,True,True,False
54,1055,2,2,2,2,4,2,False,True,False,True
56,644,3,1,1,1,4,4,True,False,True,False
45,618,3,5,2,4,3,5,True,False,True,False
51,775,2,2,2,2,5,5,True,False,True,False
38,447,5,5,5,3,4,5,False,True,False,True
69,377,5,5,5,2,4,5,True,False,True,False
56,729,1,1,1,1,1,4,True,False,True,False
68,517,1,5,1,5,5,1,False,True,True,False
48,196,4,1,1,1,4,4,False,True,True,False
25,393,4,0,4,2,4,4,True,False,False,True
27,3127,2,4,5,4,2,2,False,True,True,False
45,447,4,4,4,4,5,5,False,True,True,False
47,1995,4,4,4,4,3,4,True,False,True,False
37,3489,3,3,3,3,2,4,True,False,True,False
30,669,4,4,4,3,5,4,False,True,True,False
49,2245,2,2,3,2,3,5,False,True,True,False
61,516,1,3,1,1,3,3,True,False,True,False
44,484,3,1,2,1,1,1,True,False,True,False
42,1972,2,2,2,2,3,4,True,False,True,False
44,2632,2,2,5,2,5,4,False,True,True,False
59,868,4,4,4,2,4,5,True,False,True,False
28,799,4,4,4,3,4,4,True,False,False,True
59,857,3,4,3,3,5,3,False,True,True,False
34,1521,4,4,4,5,5,4,False,True,True,False
19,125,4,5,4,4,3,4,True,False,True,False
33,714,5,3,3,3,5,5,True,False,True,False
52,102,4,5,4,1,1,4,False,True,True,False
58,226,2,3,3,3,3,2,False,True,True,False
